会员编号,股票代码,股票名称,交易类型,交易量,股票价格,总股价,交易手续费,交易状态,交易日期
YT195888,PPE,越南电力油气咨询工程公司,购买,8000,4.00,32000.00,0.00,交易锁定,"2016-07-01 10:02:11"
YT19999,PPE,越南电力油气咨询工程公司,购买,2562,4.00,10248.00,0.00,交易锁定,"2016-07-01 10:02:10"
2016,PPE,越南电力油气咨询工程公司,出售,1551,4.00,6204.00,62.04,交易锁定,"2016-07-01 10:02:09"
01941179,PPE,越南电力油气咨询工程公司,出售,49854,4.02,200413.08,2004.13,交易锁定,"2016-07-01 10:02:07"
yt030,PPE,越南电力油气咨询工程公司,购买,25508,4.02,102542.16,0.00,交易锁定,"2016-07-01 10:02:06"
8244314,PPE,越南电力油气咨询工程公司,出售,2778,4.02,11167.56,111.68,交易锁定,"2016-07-01 10:02:06"
XXE006,PPE,越南电力油气咨询工程公司,出售,13742,4.02,55242.84,552.43,交易锁定,"2016-07-01 10:02:05"
08144127,PPE,越南电力油气咨询工程公司,出售,4804,4.02,19312.08,193.12,交易锁定,"2016-07-01 10:02:04"
GQ001,PPE,越南电力油气咨询工程公司,出售,90000,4.02,361800.00,3618.00,交易锁定,"2016-07-01 10:02:04"
P92269338,PPE,越南电力油气咨询工程公司,出售,28969,4.02,116455.38,1164.55,交易锁定,"2016-07-01 10:02:02"
WJL003,PPE,越南电力油气咨询工程公司,出售,250000,4.02,1005000.00,10050.00,交易锁定,"2016-07-01 10:02:01"
51819999,PPE,越南电力油气咨询工程公司,出售,24910,4.02,100138.20,1001.38,交易锁定,"2016-07-01 10:02:01"
12812899,PPE,越南电力油气咨询工程公司,出售,1000,4.02,4020.00,40.20,交易锁定,"2016-07-01 10:02:01"
93457475,PPE,越南电力油气咨询工程公司,出售,103547,4.02,416258.94,4162.59,交易锁定,"2016-07-01 10:02:00"
009009886,PPE,越南电力油气咨询工程公司,出售,2774,4.02,11151.48,111.51,交易锁定,"2016-07-01 10:01:55"
FSL001,PPE,越南电力油气咨询工程公司,购买,3000,4.02,12060.00,0.00,交易锁定,"2016-07-01 10:01:54"
126881,PPE,越南电力油气咨询工程公司,出售,18198,4.02,73155.96,731.56,交易锁定,"2016-07-01 10:01:50"
00900988,PPE,越南电力油气咨询工程公司,出售,68240,4.02,274324.80,2743.25,交易锁定,"2016-07-01 10:01:49"
zrl998,PPE,越南电力油气咨询工程公司,购买,1500,4.02,6030.00,0.00,交易锁定,"2016-07-01 10:01:46"
100003,PPE,越南电力油气咨询工程公司,出售,7376,4.02,29651.52,296.52,交易锁定,"2016-07-01 10:01:42"
00100129,PPE,越南电力油气咨询工程公司,出售,230592,4.02,926979.84,9269.80,交易锁定,"2016-07-01 10:01:36"
YT5557,PPE,越南电力油气咨询工程公司,购买,20000,4.02,80400.00,0.00,交易锁定,"2016-07-01 10:01:33"
009009009,PPE,越南电力油气咨询工程公司,出售,47821,4.02,192240.42,1922.40,交易锁定,"2016-07-01 10:01:33"
12812899,PPE,越南电力油气咨询工程公司,出售,1000,4.02,4020.00,40.20,交易锁定,"2016-07-01 10:01:22"
81570112,PPE,越南电力油气咨询工程公司,出售,24239,4.02,97440.78,974.41,交易锁定,"2016-07-01 10:01:20"
33061678,PPE,越南电力油气咨询工程公司,出售,26225,4.02,105424.50,1054.25,交易锁定,"2016-07-01 10:01:17"
